Cases,location,long,lat,Traffic,PctBeds,Distancing,SocialDist,PctVentila,AgeDistrib,Vaccines,Population,Area,PctCases,temp
2174,Arkansas_Clay,-90.4148,36.3683,53.995228,0.51,4,1,0,0.633558,0.647,14375,1662,151.2347826,24.249994
3031,Arkansas_Cleburne,-92.0264,35.5386,8.280382,0.47,5,1,0,0.723821,0.654,24935,1533,121.5560457,23.450006
1256,Arkansas_Cleveland,-92.1854,33.8972,8.025015,0.5724,3,0,0.1039,0.6208,0.602,7957,1551,157.8484353,26.216669
2906,Arkansas_Columbia,-93.2264,33.2123,26.943437,0.93,5,1,0.75,0.556173,0.655,23331,1986,124.5553127,26.649988
2722,Arkansas_Conway,-92.7051,35.2621,63.108707,0.21,5,1,0,0.59588,0.574,21037,1468,129.3910729,24.983331
17822,Arkansas_Craighead,-90.6324,35.8302,125.163996,0.89,5,1,0.26,0.466894,0.686,112245,1846,158.7776738,25.935724
8718,Arkansas_Crawford,-94.2447,35.5893,161.193995,0.59,5,1,0,0.538099,0.654,63409,1562,137.4883692,22.966669
7394,Arkansas_Crittenden,-90.3084,35.2125,248.029814,0.3,5,1,0.1,0.466894,0.696,47616,1648,155.2839382,25.649988
2440,Arkansas_Cross,-90.7719,35.2963,103.958547,0.5,5,1,0,0.579674,0.631,16142,1612,151.1584686,24.990015
1039,Arkansas_Dallas,-92.6517,33.9704,85.397801,0.19,4,1,0,0.642411,0.56,6802,1730,152.7491914,25.966669
1651,Arkansas_Desha,-91.255,33.8301,70.739119,0.25,4,1,0,0.581739,0.56,11110,2122,148.6048605,26.749994
2483,Arkansas_Drew,-91.7178,33.5904,69.636845,0.57,4,1,0.05,0.551736,0.636,17977,2165,138.1209323,26.683313
17215,Arkansas_Faulkner,-92.3372,35.1472,125.722586,0.87,5,1,0.58,0.422297,0.62,126919,1720,135.6376902,25.35
2225,Arkansas_Franklin,-93.893,35.512,37.770868,0.48,5,1,0.14,0.597858,0.63,17897,1605,124.3225122,20.649988
1488,Arkansas_Fulton,-91.8173,36.3818,38.661278,0.44,4,1,0,0.70655,0.757,12381,1607,120.1841531,23.983331
14146,Arkansas_Garland,-93.1492,34.5769,188.397823,0.79,5,1,0.69,0.667774,0.654,99789,1903,141.7591117,25.183313
2507,Arkansas_Grant,-92.4232,34.2902,54.445213,0.5852,4,1,0.3206,0.56273,0.647,18449,1639,135.888124,26.249994
8082,Arkansas_Greene,-90.5583,36.1174,106.994479,0.69,5,1,0.55,0.526341,0.678,45597,1500,177.2485032,25.000024
2525,Arkansas_Hempstead,-93.6694,33.7333,47.73215,0.3,4,1,0.19,0.571298,0.776,21253,1920,118.8067567,25.425012
6800,Arkansas_Hot Spring,-92.954,34.3171,57.209046,0.71,5,1,0,0.585834,0.669,33787,1611,201.26084,25.500024
2035,Arkansas_Howard,-93.9935,34.0901,41.980222,0.94,4,1,0,0.569175,0.646,13109,1542,155.2368602,24.975
5161,Arkansas_Independence,-91.57,35.7424,70.285879,1,5,1,0.28,0.56273,0.697,37757,1998,136.6898853,24.683313
2177,Arkansas_Izard,-91.9085,36.096,19.272506,0.33,4,1,0,0.700611,0.718,13613,1512,159.9206641,23.899988
3667,Arkansas_Jackson,-91.2149,35.598,21.786696,0.6025,4,1,0.115,0.564891,0.707,16636,1661,220.4255831,24.183313
11457,Arkansas_Jefferson,-91.9262,34.2677,93.505252,0.66,5,1,0.4,0.5427,0.693,65377,2367,175.2451168,26.225
3731,Arkansas_Johnson,-93.4604,35.5676,64.006236,0.59,5,1,0.69,0.535777,0.652,26513,1768,140.7234187,21.749994
710,Arkansas_Lafayette,-93.6068,33.2412,42.457392,0.6013,3,1,0.2762,0.667774,0.726,6596,1412,107.6409945,26.483331
2602,Arkansas_Lawrence,-91.1087,36.0419,32.215299,0.31,5,1,0,0.603727,0.674,16410,1534,158.5618525,24.550012
1906,Arkansas_Lee,-90.7838,34.785,48.938624,0.5416,4,1,0.1694,0.587865,0.746,8513,1604,223.8928697,25.950006
3533,Arkansas_Lincoln,-91.74,33.9532,28.909435,0.5434,4,1,0.1506,0.501651,0.743,12944,1482,272.9449938,26.649988
1615,Arkansas_Little River,-94.2347,33.7038,51.841151,0.14,4,1,0,0.626321,0.779,12180,1463,132.5944171,26.050012
2937,Arkansas_Logan,-93.7195,35.2141,54.18805,0.45,4,1,0,0.603727,0.652,21410,1895,137.1788884,24.425012
10356,Arkansas_Lonoke,-91.8874,34.7539,56.378932,0.6569,5,1,0.4013,0.452613,0.637,73921,2079,140.0955074,25.483331
2036,Arkansas_Madison,-93.7252,36.0104,11.180431,0.6,4,1,0.2262,0.587865,0.691,16644,2168,122.3263639,22.883325
1847,Arkansas_Marion,-92.6845,36.2684,14.808921,0.51,4,1,0.09,0.736268,0.728,16790,1658,110.0059559,23.649988
5315,Arkansas_Miller,-93.8929,33.314,168.408027,0.6814,5,1,0.247,0.535777,0.9,43177,1652,123.0979457,26.500024
6758,Arkansas_Mississippi,-90.0519,35.7627,65.742724,0.44,5,1,0,0.488664,0.712,40066,2382,168.6716917,25.749994
1072,Arkansas_Monroe,-91.2054,34.6816,76.453727,0.5923,4,1,0.1901,0.661178,0.592,6584,1609,162.818955,25.975
943,Arkansas_Montgomery,-93.6582,34.537,23.137403,0.6262,4,1,0.1562,0.725225,0.703,9006,2073,104.7079725,25.149988
1078,Arkansas_Nevada,-93.3063,33.6634,21.118827,0.5616,4,1,0.1979,0.617073,0.729,8099,1608,133.1028522,25.890009
1043,Arkansas_Newton,-93.2161,35.9195,15.190785,0.5775,3,0,0.2508,0.696093,0.75,7602,2132,137.2007366,21.649988
3009,Arkansas_Ouachita,-92.878,33.5884,30.984248,0.54,4,1,0.07,0.601781,0.599,23167,1916,129.8830233,26.649988
1293,Arkansas_Perry,-92.9437,34.9459,23.383036,0.6225,4,1,0.4112,0.599824,0.593,10327,1452,125.2057713,25.950006
2583,Arkansas_Phillips,-90.848,34.4327,47.122714,0.2,4,1,0,0.571298,0.652,17299,1884,149.3149893,26.464288
1343,Arkansas_Pike,-93.6579,34.1625,46.126111,0.6435,4,1,0.2243,0.6208,0.699,10643,1591,126.1862257,24.183313
4069,Arkansas_Poinsett,-90.6627,35.5743,50.678287,0.5153,4,1,0.1331,0.569175,0.688,23283,1978,174.7627024,24.749994
2433,Arkansas_Polk,-94.2273,34.4825,47.302929,0.68,4,1,0.51,0.657835,0.748,19707,2233,123.4586695,23.000024
10195,Arkansas_Pope,-93.0321,35.4487,102.818455,0.65,5,1,0.78,0.514201,0.626,64334,2152,158.4698604,22.416681
1158,Arkansas_Prairie,-91.5516,34.8362,20.309337,0.6114,3,1,0.2926,0.669405,0.682,7966,1750,145.3678132,25.975
53034,Arkansas_Pulaski,-92.3136,34.7705,301.094585,0.77,5,1,0.51,0.499089,0.548,392980,2092,134.9534327,25.699976
2601,Arkansas_Randolph,-91.0246,36.3416,23.181945,0.44,5,1,0,0.615195,0.712,18247,1699,142.5439798,23.699976
16433,Arkansas_Saline,-92.6758,34.6492,115.560448,0.43,5,1,0.73,0.56273,0.619,123968,1892,132.5584022,25.35
1196,Arkansas_Scott,-94.0632,34.8559,18.894058,0.35,4,1,0,0.617073,0.677,10164,2326,117.6702086,24.699976
1107,Arkansas_Searcy,-92.6994,35.9109,29.019391,0.4884,3,1,0.2151,0.699111,0.688,7842,1732,141.1629686,23.383325
18911,Arkansas_Sebastian,-94.2716,35.1961,193.674107,0.86,5,1,0.32,0.516661,0.63,127590,1417,148.2169449,24.899988
3244,Arkansas_Sevier,-94.2425,33.9978,52.713732,0.6331,4,1,0.1989,0.488664,0.693,16702,1505,194.2282361,25.425012
2252,Arkansas_Sharp,-91.4782,36.1626,37.322736,0.5491,5,1,0.0719,0.712397,0.701,17424,1571,129.2470156,23.649988
4173,Arkansas_St. Francis,-90.7483,35.022,29.253052,0.39,5,1,0.04,0.516661,0.637,24682,1664,169.0705777,25.950006
1410,Arkansas_Stone,-92.1568,35.8625,16.139278,0.46,5,1,0,0.722412,0.695,12674,1579,111.2513808,23.950006
4737,Arkansas_Union,-92.5975,33.1689,70.514204,1,5,1,0.18,0.556173,0.65,38219,2734,123.9435883,26.950006
1808,Arkansas_Van Buren,-92.513,35.581,28.112284,0.41,4,1,0,0.70655,0.662,16541,1876,109.3041533,22.749994
39013,Arkansas_Washington,-94.218,35.9768,178.746009,0.84,5,1,0.54,0.399505,0.595,243216,2467,160.4047431,23.000024
11366,Arkansas_White,-91.7491,35.2569,69.602737,0.82,5,1,0.34,0.531089,0.657,78729,2699,144.368657,24.199976
889,Arkansas_Woodruff,-91.2439,35.189,23.868657,0.6322,3,0,0.1784,0.65951,0.565,6264,1539,141.9220945,24.916681
3987,Arkansas_Yell,-93.4117,35.0029,67.95385,0.55,5,1,0,0.558371,0.651,21181,2458,188.2347387,25.35
105313,California_Alameda,-121.8929,37.6463,1620.679707,0.6,5,1,0.3,0.461248,0.335,1662323,1944,63.35291035,19.149988
92,California_Alpine,-119.8224,38.5968,4.89482,0.6438,3,0,0.1612,0.710944,0.448,1119,1924,82.21626452,13.425012
4379,California_Amador,-120.657,38.4458,50.499343,0.65,5,1,0.41,0.720998,0.587,40083,1570,109.2483098,12.649988
14964,California_Butte,-121.6005,39.6673,240.579423,0.86,5,1,0.05,0.57341,0.58,212744,4344,70.33805889,16.899988
2811,California_Calaveras,-120.5529,38.2054,17.596554,0.3,5,1,0.01,0.730787,0.589,46308,2686,60.70225447,22.516687
2220,California_Colusa,-122.2332,39.1788,152.922168,0.85,4,1,0,0.480649,0.558,21558,2995,102.9780128,29.483331
84961,California_Contra Costa,-121.929,37.9192,1015.809698,0.85,5,1,0.29,0.511724,0.343,1152333,1971,73.72955561,26.950006
2543,California_Del Norte,-123.8974,41.7423,57.394244,0.78,4,1,0.33,0.551736,0.685,27968,2629,90.92534325,19.050012
12732,California_El Dorado,-120.5233,38.7797,113.894898,0.86,5,1,0.07,0.613308,0.484,192925,4627,65.99455747,16.749994
113024,California_Fresno,-119.6467,36.7573,335.7417,0.88,5,1,0.2,0.419125,0.551,1000918,15568,112.9203391,11.716669
2717,California_Glenn,-122.3938,39.5988,132.194816,0.47,4,1,0,0.521532,0.585,28283,3435,96.06477389,20.516687
6582,California_Humboldt,-123.876,40.6992,280.514091,0.71,4,1,0.08,0.551736,0.471,134977,9352,48.76386347,17.249994
30041,California_Imperial,-115.3669,33.0393,225.518287,0.64,4,1,0.1,0.443774,0.396,180267,11607,166.647251,35.550012
1512,California_Inyo,-117.4112,36.5111,94.290396,0.2,4,1,0,0.669405,0.448,18046,26493,83.78588053,9.500024
105395,California_Kern,-118.7278,35.3433,302.58154,0.88,5,1,0.22,0.375228,0.627,901362,21139,116.9286036,27.749994
25627,California_Kings,-119.816,36.0741,117.255343,0.96,5,1,0.18,0.349259,0.683,152692,3604,167.8345951,29.85
5135,California_Lake,-122.7536,39.1012,34.014772,0.68,4,1,0.18,0.649345,0.54,64479,3443,79.63833186,22.149988
5576,California_Lassen,-120.5935,40.6731,38.096759,0.3,4,1,0,0.466894,0.722,30016,12226,185.7675906,18.149988
1328549,California_Los Angeles,-118.2282,34.3083,2069.753774,0.8,5,1,0.28,0.455514,0.44,9943046,10621,133.615896,20.199976
18249,California_Madera,-119.7666,37.2151,196.577674,0.65,5,1,0.31,0.469686,0.609,157761,5576,115.6749767,8.450006
15895,California_Marin,-122.7211,38.0712,870.328793,0.8,5,1,0.25,0.637125,0.25,257332,1409,61.76845476,18.749994
670,California_Mariposa,-119.9073,37.5798,9.027013,0.43,4,1,0,0.726623,0.448,17160,3789,39.04428904,13.916681
5416,California_Mendocino,-123.3911,39.4381,96.424664,0.77,4,1,0.09,0.626321,0.46,86061,9102,62.9321063,19.899988
34488,California_Merced,-120.7209,37.1892,207.853507,0.76,5,1,0.24,0.392728,0.659,279252,5125,123.5013536,28.425012
432,California_Modoc,-120.7245,41.5897,13.344981,0.62,3,0,0,0.712397,0.448,8763,10886,49.29818555,21.183313
1382,California_Mono,-118.8872,37.939,10.450704,0.42,3,0,0,0.493913,0.448,14534,8110,95.08738131,19.35
45126,California_Monterey,-121.2413,36.2186,221.096692,0.69,5,1,0.1,0.452613,0.459,430906,8587,104.723536,18.874994
11298,California_Napa,-122.3328,38.5074,379.139441,0.94,5,1,0.12,0.579674,0.368,135965,2042,83.09491413,25.450006
6976,California_Nevada,-120.7627,39.3039,155.537683,0.87,5,1,0.02,0.708021,0.484,99606,2523,70.03594161,19.183313
281460,California_Orange,-117.7646,33.7015,1797.045706,0.79,5,1,0.26,0.483339,0.421,3166857,2069,88.8767633,23.649988
28618,California_Placer,-120.7241,39.0617,279.027372,0.94,5,1,0.37,0.593893,0.462,402950,3891,71.02121851,19.899988
953,California_Plumas,-120.8395,40.0036,44.643148,0.48,3,0,0,0.726623,0.448,18967,6768,50.24516265,13.950006
322565,California_Riverside,-115.9934,33.7431,407.061033,0.82,5,1,0.24,0.480649,0.556,2489188,18915,129.5864354,34.890009
129540,California_Sacramento,-121.3425,38.4511,877.747495,0.89,5,1,0.28,0.469686,0.481,1559146,2575,83.08394467,29.016687
6574,California_San Benito,-121.07,36.6031,120.150931,0.92,4,1,0.07,0.431653,0.511,64055,3602,102.6305519,24.416681
320259,California_San Bernardino,-116.1775,34.8406,594.277443,0.85,5,1,0.42,0.392728,0.572,2189183,52072,146.2915617,31.749994
325823,California_San Diego,-116.7365,33.0348,986.959793,0.77,5,1,0.27,0.466894,0.54,3332427,11032,97.77348461,22.050012
46003,California_San Francisco,-122.4386,37.7522,2318.396608,0.72,5,1,0.19,0.514201,0.291,866606,127,53.0841005,15.85
83677,California_San Joaquin,-121.273,37.9343,595.489731,0.88,5,1,0.28,0.434721,0.578,767967,3695,108.9591089,27.649988
24432,California_San Luis Obispo,-120.4039,35.3882,151.556468,0.8,5,1,0.15,0.593893,0.514,282249,8608,86.56186559,19.450006
48044,California_San Mateo,-122.3276,37.4229,1478.640874,0.7,5,1,0.09,0.521532,0.309,758308,1186,63.35684181,16.050012
38307,California_Santa Barbara,-120.0188,34.6533,332.928581,0.63,5,1,0.17,0.501651,0.44,444766,7126,86.12843608,27.950006
130750,California_Santa Clara,-121.697,37.231,1524.087902,0.76,5,1,0.19,0.452613,0.285,1907105,3368,68.55941335,20.374994
17928,California_Santa Cruz,-122.0067,37.0558,374.556545,0.67,5,1,0.14,0.511724,0.358,269925,1157,66.41844957,21.050012
14664,California_Shasta,-122.0397,40.7639,208.834447,0.66,5,1,0.31,0.617073,0.627,179027,9964,81.90943266,18.683313
90,California_Sierra,-120.5201,39.5771,13.938316,0.7462,3,0,0.15,0.758703,0.448,2920,2492,30.82191781,18.225
2294,California_Siskiyou,-122.5407,41.592,75.714875,0.53,4,1,0.06,0.686891,0.568,43245,16442,53.04659498,17.510004
38713,California_Solano,-121.9357,38.2683,707.362383,0.86,5,1,0.37,0.504195,0.489,446935,2305,86.61885957,29.199976
35842,California_Sonoma,-122.8863,38.5275,474.793992,0.88,5,1,0.28,0.583792,0.363,489819,4123,73.17396834,25.516687
64176,California_Stanislaus,-120.9971,37.5586,305.674367,0.85,5,1,0.44,0.446744,0.613,550081,3921,116.6664546,27.649988
11379,California_Sutter,-121.6946,39.0342,151.135332,0.825,5,1,0,0.506722,0.56,96385,1576,118.0577891,29.183313
5826,California_Tehama,-122.237,40.1257,85.60991,0.84,4,1,0.17,0.597858,0.697,64494,7675,90.33398456,26.383325
